country;year;uneducated;primary;secondary;tertiary;years of education total;years education primary;years education secondary;years education tertiary;population in thousands;region
;1985;12,2;50,8;30,6;6,4;5,63;3,64;1,75;0,24;18419;Latin America and the Caribbean
;1990;10,4;47,4;33,6;8,6;6,16;3,79;2,05;0,32;20871;Latin America and the Caribbean
;1995;10,2;41,7;38;10;6,68;3,89;2,42;0,37;23538;Latin America and the Caribbean
;2000;8,1;42,3;39,5;10,1;7,12;4,14;2,61;0,37;26306;Latin America and the Caribbean
;2005;4,8;43,9;42,8;8,4;7,56;4,38;2,87;0,31;29137;Latin America and the Caribbean
;2010;4,4;26,5;46,8;22,3;9,35;4,78;3,75;0,82;32102;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Costa Rica;1870;91,4;8,6;0;0;0,32;0,32;0;0;75;Latin America and the Caribbean
;1875;89,4;10,6;0;0;0,4;0,39;0;0;90;Latin America and the Caribbean
;1880;87,1;12,9;0;0;0,48;0,48;0;0;106;Latin America and the Caribbean
;1885;84,4;15,6;0;0;0,59;0,59;0;0;97;Latin America and the Caribbean
;1890;81;19;0;0;0,72;0,71;0;0;138;Latin America and the Caribbean
;1895;77,1;22,9;0;0;0,87;0,86;0;0;149;Latin America and the Caribbean
;1900;62,4;35,4;1,8;0,4;1,56;1,46;0,09;0,01;167;Latin America and the Caribbean
;1905;55,8;41;2,6;0,6;1,89;1,74;0,13;0,02;191;Latin America and the Caribbean
;1910;49,4;46,3;3,8;0,5;2,21;2,02;0,17;0,02;203;Latin America and the Caribbean
;1915;44,8;50,2;4,4;0,7;2,45;2,22;0,2;0,02;218;Latin America and the Caribbean
;1920;39,2;55,1;5;0,8;2,71;2,46;0,23;0,03;234;Latin America and the Caribbean
;1925;33,5;60,1;5,6;0,9;2,99;2,71;0,25;0,03;260;Latin America and the Caribbean
;1930;30,8;62,6;5,8;0,9;3,13;2,83;0,26;0,03;279;Latin America and the Caribbean
;1935;27,9;65,2;6;1,1;3,28;2,97;0,28;0,04;308;Latin America and the Caribbean
;1940;24,8;68;6;1,3;3,43;3,1;0,29;0,04;349;Latin America and the Caribbean
;1945;21,5;70,9;6,2;1,5;3,62;3,26;0,3;0,05;395;Latin America and the Caribbean
;1950;19,2;72,7;6,6;1,6;3,6;3,22;0,32;0,06;547;Latin America and the Caribbean
;1955;18;72,4;7,6;2;3,82;3,36;0,38;0,07;602;Latin America and the Caribbean
;1960;17,7;71,2;8,7;2,4;3,96;3,44;0,44;0,08;674;Latin America and the Caribbean
;1965;16,6;69,8;10,7;2,8;4,22;3,59;0,54;0,1;772;Latin America and the Caribbean
;1970;16,2;69,9;11,1;2,8;4,03;3,39;0,55;0,1;921;Latin America and the Caribbean
;1975;10,8;65;18,5;5,7;5,3;4,13;0,98;0,19;1106;Latin America and the Caribbean
;1980;8,1;61;22,4;8,5;6,26;4,7;1,28;0,28;1349;Latin America and the Caribbean
;1985;6;57,6;26,1;10,3;6,88;4,99;1,53;0,36;1594;Latin America and the Caribbean
;1990;5,4;54,7;27,4;12,4;7,28;5,12;1,7;0,45;1822;Latin America and the Caribbean
;1995;5,1;51,3;29,2;14,4;7,61;5,19;1,88;0,54;2100;Latin America and the Caribbean
;2000;4,2;47,1;34,5;14,3;7,96;5,33;2,08;0,55;2468;Latin America and the Caribbean
;2005;2,5;40,2;41,9;15,4;8,52;5,5;2,43;0,59;2849;Latin America and the Caribbean
;2010;2,7;46,6;33,6;17,1;8,43;5,48;2,29;0,66;3164;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Cuba;1870;96,8;2,9;0,2;0;0,12;0,11;0,01;0;848;Latin America and the Caribbean
;1875;96;3,7;0,2;0,1;0,15;0,14;0,01;0;884;Latin America and the Caribbean
;1880;95;4,7;0,3;0,1;0,2;0,18;0,01;0;921;Latin America and the Caribbean
;1885;93,7;5,9;0,4;0,1;0,25;0,23;0,02;0;961;Latin America and the Caribbean
;1890;91,9;7,5;0,5;0,1;0,33;0,3;0,02;0;1001;Latin America and the Caribbean
;1895;89,1;10,1;0,6;0,2;0,44;0,41;0,03;0,01;1053;Latin America and the Caribbean
;1900;80;18,8;0,9;0,2;0,82;0,77;0,04;0,01;1072;Latin America and the Caribbean
;1905;68;30,3;1,4;0,3;1,32;1,25;0,06;0,01;1195;Latin America and the Caribbean
;1910;62,4;35,7;1,5;0,4;1,58;1,49;0,07;0,01;1235;Latin America and the Caribbean
;1915;52,9;44,5;2,3;0,4;2,03;1,92;0,1;0,01;1418;Latin America and the Caribbean
;1920;47,9;49,1;2,4;0,6;2,28;2,15;0,11;0,02;1563;Latin America and the Caribbean
;1925;41,3;55,2;2,8;0,6;2,61;2,46;0,13;0,02;1898;Latin America and the Caribbean
;1930;34,3;61,9;3;0,8;2,96;2,79;0,14;0,03;2169;Latin America and the Caribbean
;1935;30,4;65,5;3,2;0,9;3,16;2,98;0,15;0,03;2438;Latin America and the Caribbean
;1940;27,7;67,9;3,4;1;3,31;3,11;0,16;0,04;2694;Latin America and the Caribbean
;1945;25,8;69,6;3,5;1,1;3,42;3,21;0,17;0,04;2877;Latin America and the Caribbean
;1950;23,8;70,8;3,9;1,5;3,58;3,33;0,2;0,05;3470;Latin America and the Caribbean
;1955;22,7;71,2;4,6;1,5;3,66;3,38;0,23;0,05;3832;Latin America and the Caribbean
;1960;20,8;68,4;9,1;1,7;4,08;3,63;0,39;0,06;4237;Latin America and the Caribbean
;1965;17,9;65,7;14,3;2,1;4,55;3,9;0,58;0,07;4539;Latin America and the Caribbean
;1970;12,3;62,9;21,9;2,9;5,41;4,34;0,98;0,1;4815;Latin America and the Caribbean
;1975;7;56,9;32,3;3,8;6,48;4,78;1,58;0,13;5162;Latin America and the Caribbean
;1980;3,6;43,6;48;4,8;7,82;5,19;2,47;0,16;5823;Latin America and the Caribbean
;1985;5,3;31;57,5;6,1;8,64;5,26;3,17;0,21;6552;Latin America and the Caribbean
;1990;6,5;23,1;63,1;7,3;9,21;5,31;3,65;0,25;7235;Latin America and the Caribbean
;1995;7,1;17,4;67,1;8,4;9,58;5,36;3,93;0,29;7484;Latin America and the Caribbean
;2000;6,7;13,5;70,9;8,8;9,88;5,45;4,12;0,31;7714;Latin America and the Caribbean
;2005;5;11,8;69,7;13,5;10,36;5,57;4,35;0,44;7901;Latin America and the Caribbean
;2010;3,5;9,8;64,8;21,8;11,06;5,69;4,67;0,7;7962;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Dominican Rep.;1870;98,3;1,7;0;0;0,07;0,07;0;0;134;Latin America and the Caribbean
;1875;97,4;2,6;0;0;0,1;0,1;0;0;174;Latin America and the Caribbean
;1880;96,4;3,6;0;0;0,14;0,14;0;0;213;Latin America and the Caribbean
;1885;95,3;4,7;0;0;0,19;0,18;0;0;245;Latin America and the Caribbean
;1890;94,3;5,7;0;0;0,23;0,22;0;0;277;Latin America and the Caribbean
;1895;93,4;6,6;0;0;0,26;0,25;0;0;276;Latin America and the Caribbean
;1900;92,5;7,5;0;0;0,29;0,29;0;0;275;Latin America and the Caribbean
;1905;83;16,5;0,4;0,1;0,7;0,67;0,03;0;315;Latin America and the Caribbean
;1910;74,5;24,4;0,8;0,3;1,06;1;0,05;0,01;362;Latin America and the Caribbean
;1915;69,1;29,4;1,2;0,3;1,3;1,22;0,07;0,01;411;Latin America and the Caribbean
;1920;62,9;35,7;1;0,4;1,53;1,45;0,07;0,01;457;Latin America and the Caribbean
;1925;55,7;42,3;1,6;0,4;1,85;1,74;0,1;0,01;544;Latin America and the Caribbean
;1930;46,9;50,9;1,8;0,5;2,21;2,08;0,11;0,01;644;Latin America and the Caribbean
;1935;44,7;52,8;1,9;0,5;2,3;2,17;0,12;0,02;754;Latin America and the Caribbean
;1940;45,4;51,7;2,3;0,6;2,3;2,15;0,14;0,02;857;Latin America and the Caribbean
;1945;43,8;52,9;2,5;0,7;2,39;2,22;0,15;0,02;972;Latin America and the Caribbean
;1950;41;55,4;2,9;0,7;2,53;2,34;0,17;0,02;1230;Latin America and the Caribbean
;1955;39,7;56,6;2,9;0,8;2,58;2,39;0,17;0,02;1427;Latin America and the Caribbean
;1960;34,6;61,5;3,2;0,8;2,78;2,58;0,19;0,02;1662;Latin America and the Caribbean
;1965;32,6;56,4;9,6;1,3;3,15;2,62;0,5;0,03;1934;Latin America and the Caribbean
;1970;31;50,1;17;2;3,74;2,81;0,87;0,05;2282;Latin America and the Caribbean
;1975;27,5;48,6;20,9;3;4,3;3,13;1,1;0,07;2719;Latin America and the Caribbean
;1980;23,4;47;24,9;4,6;4,98;3,48;1,39;0,11;3186;Latin America and the Caribbean
;1985;20;45,3;28;6,6;5,58;3,76;1,66;0,16;3738;Latin America and the Caribbean
;1990;16,5;43,5;30,5;9,6;6,13;4,09;1,81;0,23;4265;Latin America and the Caribbean
;1995;13;44,2;31;11,8;6,58;4,33;1,96;0,29;4777;Latin America and the Caribbean
;2000;10,3;43;32,4;14,3;7,03;4,53;2,15;0,35;5275;Latin America and the Caribbean
;2005;8,2;40,9;34,2;16,7;7,54;4,73;2,4;0,41;5772;Latin America and the Caribbean
;2010;6,5;31,5;49,9;12,2;8,12;5,02;2,8;0,3;6306;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Ecuador;1870;95;5;0;0;0,19;0,19;0;0;582;Latin America and the Caribbean
;1875;93,7;6,3;0;0;0,24;0,24;0;0;622;Latin America and the Caribbean
;1880;92,2;7,8;0;0;0,3;0,29;0;0;662;Latin America and the Caribbean
;1885;90,4;9,6;0;0;0,37;0,36;0;0;693;Latin America and the Caribbean
;1890;88,1;11,9;0,1;0;0,45;0,45;0;0;724;Latin America and the Caribbean
;1895;85,5;14,5;0,1;0;0,56;0,55;0;0;758;Latin America and the Caribbean
;1900;78;21,1;0,7;0,2;0,9;0,85;0,04;0,01;793;Latin America and the Caribbean
;1905;75,2;23,6;1;0,3;1,04;0,97;0,06;0,01;850;Latin America and the Caribbean
;1910;72,2;25,2;2,4;0,3;1,25;1,12;0,12;0,01;911;Latin America and the Caribbean
;1915;68,7;28,2;2,8;0,3;1,42;1,26;0,14;0,01;965;Latin America and the Caribbean
;1920;65,3;31,2;3,1;0,4;1,58;1,41;0,16;0,01;1003;Latin America and the Caribbean
;1925;63,7;32,4;3,5;0,5;1,68;1,49;0,18;0,01;1043;Latin America and the Caribbean
;1930;60;35,7;3,8;0,5;1,86;1,64;0,2;0,02;1084;Latin America and the Caribbean
;1935;55,4;39,8;4,2;0,6;2,08;1,84;0,22;0,02;1222;Latin America and the Caribbean
;1940;52,5;42,3;4,6;0,6;2,23;1,97;0,24;0,02;1369;Latin America and the Caribbean
;1945;48,8;45,4;5,1;0,7;2,43;2,15;0,26;0,02;1539;Latin America and the Caribbean
;1950;45,4;47,9;5,9;0,8;2,62;2,29;0,31;0,02;1869;Latin America and the Caribbean
;1955;38,9;52,6;7,5;1;2,93;2,51;0,39;0,03;2059;Latin America and the Caribbean
;1960;32,3;57,1;9,4;1,2;3,29;2,77;0,48;0,04;2301;Latin America and the Caribbean
;1965;29,2;57,5;11,5;1,8;4;3,34;0,61;0,05;2616;Latin America and the Caribbean
;1970;26,6;57,1;13,9;2,5;4,55;3,73;0,75;0,07;3067;Latin America and the Caribbean
;1975;23,8;55,2;17,7;3,3;5,07;4,02;0,95;0,09;3601;Latin America and the Caribbean
;1980;17,6;48,6;26,2;7,5;6,35;4,53;1,6;0,22;4234;Latin America and the Caribbean
;1985;16,8;43,7;28,9;10,6;6,76;4,51;1,94;0,31;4988;Latin America and the Caribbean
;1990;15;40,3;32,4;12,3;7,23;4,65;2,22;0,37;5844;Latin America and the Caribbean
;1995;16;38,8;31,3;13,8;7,32;4,61;2,29;0,42;6737;Latin America and the Caribbean
;2000;16,9;37,5;30,6;15,1;7,41;4,61;2,35;0,46;7437;Latin America and the Caribbean
;2005;11,1;44,3;31;13,6;7,7;4,94;2,35;0,41;8174;Latin America and the Caribbean
;2010;5,7;50,6;33,7;10;8,02;5,27;2,43;0,31;8973;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
El Salvador;1870;94,4;5,4;0,2;0;0,22;0,21;0,01;0;284;Latin America and the Caribbean
;1875;93,1;6,6;0,3;0;0,27;0,26;0,01;0;312;Latin America and the Caribbean
;1880;91,6;8;0,4;0;0,34;0,32;0,02;0;339;Latin America and the Caribbean
;1885;89,8;9,6;0,6;0;0,42;0,39;0,02;0;367;Latin America and the Caribbean
;1890;87,7;11,5;0,8;0;0,51;0,48;0,03;0;394;Latin America and the Caribbean
;1895;85,5;13,6;0,9;0;0,6;0,57;0,04;0;416;Latin America and the Caribbean
;1900;80,6;18;1,2;0,2;0,82;0,76;0,06;0,01;438;Latin America and the Caribbean
;1905;78,5;19,9;1,4;0,2;0,92;0,85;0,07;0,01;486;Latin America and the Caribbean
;1910;74,2;23,3;2,5;0,2;1,15;1,04;0,1;0,01;539;Latin America and the Caribbean
;1915;73,1;24,2;2,6;0,2;1,21;1,09;0,11;0,01;598;Latin America and the Caribbean
;1920;71,5;25,7;2,6;0,3;1,28;1,16;0,11;0,01;664;Latin America and the Caribbean
;1925;69,9;27,1;2,7;0,3;1,35;1,23;0,12;0,01;736;Latin America and the Caribbean
;1930;68,8;28,2;2,8;0,3;1,41;1,28;0,12;0,01;811;Latin America and the Caribbean
;1935;69;27,9;2,8;0,3;1,41;1,28;0,12;0,01;853;Latin America and the Caribbean
;1940;69,2;27,6;2,9;0,3;1,41;1,28;0,12;0,01;895;Latin America and the Caribbean
;1945;66,6;30;3;0,4;1,54;1,39;0,13;0,01;942;Latin America and the Caribbean
;1950;63,8;32,5;3,4;0,4;1,55;1,39;0,15;0,01;1050;Latin America and the Caribbean
;1955;60,9;34,3;4,4;0,4;1,7;1,5;0,19;0,01;1172;Latin America and the Caribbean
;1960;55,9;37,5;6,3;0,4;1,98;1,72;0,26;0,01;1324;Latin America and the Caribbean
;1965;50,5;40,8;7,6;1,1;2,41;2,04;0,34;0,04;1530;Latin America and the Caribbean
;1970;43,9;44,8;9,3;1,9;2,9;2,4;0,44;0,06;1828;Latin America and the Caribbean
;1975;38,3;48,7;9,4;3,6;3,37;2,71;0,53;0,12;2116;Latin America and the Caribbean
;1980;33,4;51,6;10,8;4,3;3,74;2,98;0,62;0,15;2377;Latin America and the Caribbean
;1985;30,9;52,3;9,6;7,2;4,57;3,57;0,75;0,25;2515;Latin America and the Caribbean
;1990;27,5;52,9;13,2;6,2;5,08;4,09;0,77;0,22;2810;Latin America and the Caribbean
;1995;22,9;49,8;19,1;8,2;5,8;4,58;0,94;0,29;3286;Latin America and the Caribbean
;2000;17,7;45,1;27,9;9,4;7,04;5,55;1,16;0,33;3730;Latin America and the Caribbean
;2005;12;42;35,8;10,2;8,08;6,35;1,37;0,36;4174;Latin America and the Caribbean
;2010;3,2;49,1;42,4;5,3;8,06;6,33;1,55;0,19;4653;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Guatemala;1870;94,5;5,2;0,2;0;0,22;0,21;0,01;0;636;Latin America and the Caribbean
;1875;93,4;6,3;0,3;0;0,26;0,25;0,01;0;663;Latin America and the Caribbean
;1880;92,1;7,6;0,3;0;0,32;0,3;0,01;0;691;Latin America and the Caribbean
;1885;90,5;9,1;0,4;0;0,38;0,37;0,02;0;709;Latin America and the Caribbean
;1890;88,6;10,8;0,6;0;0,46;0,44;0,02;0;727;Latin America and the Caribbean
;1895;85,8;13,2;1;0;0,59;0,56;0,04;0;746;Latin America and the Caribbean
;1900;80,4;18,1;1,4;0,2;0,84;0,78;0,06;0,01;765;Latin America and the Caribbean
;1905;79,3;18,8;1,6;0,2;0,91;0,82;0,07;0,01;806;Latin America and the Caribbean
;1910;75,5;22,5;1,9;0,2;1,07;0,98;0,08;0,01;848;Latin America and the Caribbean
;1915;72,1;25,9;1,8;0,2;1,2;1,11;0,08;0,01;893;Latin America and the Caribbean
;1920;69,1;29;1,7;0,2;1,31;1,22;0,08;0,01;1181;Latin America and the Caribbean
;1925;70,1;28;1,6;0,3;1,28;1,19;0,08;0,01;969;Latin America and the Caribbean
;1930;70,3;27,6;1,8;0,3;1,29;1,2;0,09;0,01;997;Latin America and the Caribbean
;1935;67,8;29,8;2,1;0,3;1,42;1,31;0,1;0,01;1090;Latin America and the Caribbean
;1940;68,1;29,4;2,3;0,3;1,43;1,31;0,1;0,01;1764;Latin America and the Caribbean
;1945;68,7;28,9;2,2;0,3;1,41;1,3;0,1;0,01;1301;Latin America and the Caribbean
;1950;69;28,1;2,5;0,4;1,32;1,19;0,11;0,01;1664;Latin America and the Caribbean
;1955;69,3;27,2;2,9;0,5;1,35;1,2;0,14;0,02;1882;Latin America and the Caribbean
;1960;69,2;26,6;3,5;0,6;1,41;1,23;0,16;0,02;2135;Latin America and the Caribbean
;1965;68,2;26,9;4,3;0,6;1,51;1,3;0,18;0,02;2464;Latin America and the Caribbean
;1970;64,3;29,2;5,5;1;1,78;1,48;0,26;0,03;2843;Latin America and the Caribbean
;1975;59,4;32,2;7,3;1,1;2,11;1,71;0,36;0,04;3248;Latin America and the Caribbean
;1980;46,5;40,9;10,5;2;2,94;2,32;0,56;0,07;3624;Latin America and the Caribbean
;1985;42,4;43,9;11,4;2,2;3,27;2,57;0,62;0,08;4061;Latin America and the Caribbean
;1990;37,7;46,2;13,6;2,5;3,66;2,82;0,75;0,09;4563;Latin America and the Caribbean
;1995;33,8;48,5;14,9;2,8;3,96;3,01;0,86;0,1;5130;Latin America and the Caribbean
;2000;30,2;49,3;17,8;2,7;4,35;3,22;1,03;0,1;5792;Latin America and the Caribbean
;2005;27,5;53,5;16,7;2,3;4,33;3,35;0,9;0,08;6610;Latin America and the Caribbean
;2010;19,2;52,7;28,1;0;5,21;3,95;1,26;0;7666;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Guyana;1870;93,3;6,7;0;0;0,25;0,25;0;0;146;Latin America and the Caribbean
;1875;89,9;10;0;0;0,38;0,38;0;0;153;Latin America and the Caribbean
;1880;83,3;16,7;0;0;0,63;0,63;0;0;160;Latin America and the Caribbean
;1885;76,8;23,2;0;0;0,87;0,87;0;0;167;Latin America and the Caribbean
;1890;70,5;29,5;0,1;0;1,11;1,11;0;0;175;Latin America and the Caribbean
;1895;65,5;34,4;0,1;0;1,3;1,3;0,01;0;183;Latin America and the Caribbean
;1900;58,7;41,2;0,1;0;1,56;1,56;0,01;0;192;Latin America and the Caribbean
;1905;52,9;47;0,1;0;1,79;1,78;0,01;0;201;Latin America and the Caribbean
;1910;48,2;51,6;0,1;0;1,98;1,97;0,01;0;189;Latin America and the Caribbean
;1915;41,2;58,1;0,6;0;2,3;2,26;0,04;0;216;Latin America and the Caribbean
;1920;35,1;63,7;1,1;0,1;2,58;2,51;0,07;0;191;Latin America and the Caribbean
;1925;32,1;66,3;1,6;0,1;2,75;2,65;0,1;0;224;Latin America and the Caribbean
;1930;30,2;66,5;3,1;0,3;2,97;2,77;0,19;0,01;189;Latin America and the Caribbean
;1935;26,2;69,8;3,7;0,3;3,2;2,96;0,23;0,01;230;Latin America and the Caribbean
;1940;22,1;73,2;4,3;0,4;3,44;3,16;0,27;0,01;234;Latin America and the Caribbean
;1945;20,4;74,3;5;0,4;3,59;3,26;0,31;0,01;217;Latin America and the Caribbean
;1950;18,1;75,7;5,7;0,5;4,36;3,98;0,36;0,02;230;Latin America and the Caribbean
;1955;15,5;76,7;7,1;0,7;4,6;4,12;0,46;0,02;248;Latin America and the Caribbean
;1960;12,8;77;9,5;0,7;4,91;4,29;0,6;0,02;275;Latin America and the Caribbean
;1965;10,2;74,9;14,1;0,8;5,35;4,47;0,85;0,02;320;Latin America and the Caribbean
;1970;7,5;73,4;18,3;0,8;5,76;4,64;1,09;0,02;346;Latin America and the Caribbean
;1975;5,9;70,9;21,9;1,3;6,16;4,77;1,35;0,04;382;Latin America and the Caribbean
;1980;4,6;66,5;27,3;1,6;6,65;4,9;1,7;0,05;420;Latin America and the Caribbean
;1985;4,9;60,4;33,3;1,4;7,04;4,95;2,05;0,04;429;Latin America and the Caribbean
;1990;5,1;56,2;37,3;1,3;7,27;4,99;2,25;0,04;428;Latin America and the Caribbean
;1995;5,3;47,1;46,8;0,8;7,92;5,09;2,8;0,03;453;Latin America and the Caribbean
;2000;5,2;40,3;54,5;0,1;8,43;5,18;3,24;0;479;Latin America and the Caribbean
;2005;5,2;35,7;58,9;0,2;8,79;5,24;3,55;0,01;492;Latin America and the Caribbean
;2010;4,2;32,1;63,2;0,4;9;5,34;3,65;0,01;503;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Haiti;1870;100;0;0;0;0,01;0;0;0;667;Latin America and the Caribbean
;1875;100;0;0;0;0,01;0;0;0;688;Latin America and the Caribbean
;1880;100;0;0;0;0,01;0;0;0;709;Latin America and the Caribbean
;1885;100;0;0;0;0,01;0;0;0;753;Latin America and the Caribbean
;1890;100;0;0;0;0,01;0;0;0;798;Latin America and the Caribbean
;1895;100;0;0;0;0,01;0;0;0;848;Latin America and the Caribbean
;1900;97,5;1,8;0,6;0,1;0,14;0,11;0,03;0;897;Latin America and the Caribbean
;1905;96,7;2,4;0,9;0,1;0,2;0,15;0,04;0;965;Latin America and the Caribbean
;1910;96,1;2,9;1;0,1;0,22;0,17;0,05;0;1038;Latin America and the Caribbean
;1915;95,4;3,3;1,2;0,1;0,27;0,21;0,06;0;1120;Latin America and the Caribbean
;1920;94,7;3,8;1,4;0,1;0,31;0,24;0,07;0;1215;Latin America and the Caribbean
;1925;94,3;4,1;1,5;0,1;0,34;0,26;0,08;0;1295;Latin America and the Caribbean
;1930;93,3;4,7;1,9;0,1;0,4;0,3;0,09;0;1381;Latin America and the Caribbean
;1935;91,4;5,4;3,1;0,1;0,55;0,4;0,14;0;1470;Latin America and the Caribbean
;1940;89,9;5,2;4,8;0,1;0,72;0,5;0,22;0;1564;Latin America and the Caribbean
;1945;89,1;5,8;5;0,2;0,77;0,54;0,23;0,01;1663;Latin America and the Caribbean
;1950;89,6;7,8;2,5;0,2;0,6;0,47;0,13;0,01;1891;Latin America and the Caribbean
;1955;87,7;9,2;2,9;0,2;0,68;0,53;0,15;0,01;1991;Latin America and the Caribbean
;1960;84,7;11,5;3,6;0,2;0,83;0,63;0,19;0,01;2112;Latin America and the Caribbean
;1965;81,5;14;4,2;0,3;0,99;0,75;0,22;0,01;2257;Latin America and the Caribbean
;1970;77,5;16,7;5,5;0,3;1,22;0,92;0,29;0,01;2457;Latin America and the Caribbean
;1975;72,8;19,2;7,5;0,4;1,56;1,13;0,41;0,01;2674;Latin America and the Caribbean
;1980;65,9;22,6;10,9;0,6;2,07;1,45;0,6;0,02;2935;Latin America and the Caribbean
;1985;46,7;37,8;14,8;0,6;3,05;2,2;0,83;0,02;3236;Latin America and the Caribbean
;1990;41,6;38,9;18,8;0,7;3,56;2,48;1,06;0,02;3555;Latin America and the Caribbean
;1995;36,3;40,4;22,5;0,8;4,06;2,75;1,28;0,03;3921;Latin America and the Caribbean
;2000;33,6;39,8;25,8;0,8;4,44;2,92;1,49;0,03;4414;Latin America and the Caribbean
;2005;27,9;42,7;28,6;0,8;4,9;3,19;1,69;0,03;4990;Latin America and the Caribbean
;2010;22,9;46,8;29,4;0,9;5,17;3,37;1,77;0,03;5442;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Honduras;1870;93,8;5,9;0,3;0;0,25;0,23;0,01;0;230;Latin America and the Caribbean
;1875;92,4;7,2;0,4;0;0,3;0,29;0,02;0;243;Latin America and the Caribbean
;1880;90,6;8,9;0,5;0;0,37;0,35;0,02;0;255;Latin America and the Caribbean
;1885;88,5;10,9;0,6;0;0,46;0,43;0,03;0;264;Latin America and the Caribbean
;1890;86,1;13,2;0,7;0;0,55;0,52;0,03;0;273;Latin America and the Caribbean
;1895;83,4;15,8;0,8;0;0,66;0,62;0,03;0;276;Latin America and the Caribbean
;1900;80,7;18,4;0,8;0,1;0,76;0,72;0,04;0;279;Latin America and the Caribbean
;1905;76,4;22,3;1,2;0,1;0,94;0,89;0,05;0;309;Latin America and the Caribbean
;1910;73;25,3;1,5;0,2;1,1;1,02;0,07;0,01;343;Latin America and the Caribbean
;1915;70,3;27,7;1,7;0,3;1,22;1,13;0,09;0,01;374;Latin America and the Caribbean
;1920;64;32,8;2,9;0,3;1,52;1,38;0,13;0,01;396;Latin America and the Caribbean
;1925;63,1;33,5;3,1;0,3;1,57;1,42;0,14;0,01;466;Latin America and the Caribbean
;1930;64,2;32,2;3,3;0,3;1,55;1,39;0,15;0,01;465;Latin America and the Caribbean
;1935;65,7;30,5;3,4;0,4;1,51;1,34;0,16;0,01;529;Latin America and the Caribbean
;1940;65,7;30,3;3,5;0,4;1,52;1,34;0,16;0,01;615;Latin America and the Caribbean
;1945;64,2;31,7;3,6;0,4;1,57;1,39;0,17;0,01;666;Latin America and the Caribbean
;1950;62,3;33,6;3,6;0,5;1,65;1,46;0,17;0,02;726;Latin America and the Caribbean
;1955;59,9;35,6;4;0,5;1,75;1,55;0,19;0,02;838;Latin America and the Caribbean
;1960;56,5;38,3;4,7;0,5;1,93;1,7;0,21;0,01;969;Latin America and the Caribbean
;1965;51,7;42,1;5,5;0,6;2,13;1,86;0,25;0,02;1122;Latin America and the Caribbean
;1970;47,3;45,4;6,5;0,8;2,38;2,05;0,31;0,02;1280;Latin America and the Caribbean
;1975;42,8;48,4;7,8;0,9;2,73;2,32;0,38;0,03;1489;Latin America and the Caribbean
;1980;32,2;52,7;12,8;2,3;3,74;3,01;0,67;0,07;1789;Latin America and the Caribbean
;1985;23;55,6;18,3;3,1;4,65;3,57;0,98;0,1;2131;Latin America and the Caribbean
;1990;19,1;57,3;20,2;3,4;5,07;3,89;1,07;0,11;2526;Latin America and the Caribbean
;1995;15,5;57,4;23,2;3,9;5,47;4,15;1,2;0,12;2986;Latin America and the Caribbean
;2000;12,8;56,9;25,6;4,7;5,87;4,41;1,32;0,15;3519;Latin America and the Caribbean
;2005;11,1;53,8;30,3;4,7;6,24;4,59;1,5;0,15;4103;Latin America and the Caribbean
;2010;9,8;49,3;37,1;3,8;6,6;4,76;1,72;0,12;4756;Latin America and the Caribbean
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Jamaica;1870;82,4;17,5;0;0;0,67;0,66;0;0;285;Latin America and the Caribbean
;1875;79,5;20,4;0;0;0,76;0,76;0;0;305;Latin America and the Caribbean
;1880;75,9;24,1;0;0;0,9;0,9;0;0;325;Latin America and the Caribbean
;1885;69,9;30;0,1;0;1,13;1,13;0;0;349;Latin America and the Caribbean
;1890;62,4;37,5;0,1;0;1,42;1,41;0;0;366;Latin America and the Caribbean
;1895;54,6;45,3;0,1;0;1,71;1,71;0,01;0;391;Latin America and the Caribbean
;1900;48,8;50,6;0,7;0;1,97;1,95;0,03;0;410;Latin America and the Caribbean
;1905;41,4;57,8;0,7;0,1;2,27;2,23;0,03;0;433;Latin America and the Caribbean
;1910;37,2;61,5;1,2;0,1;2,47;2,41;0,05;0;471;Latin America and the Caribbean
;1915;34,7;63,5;1,7;0,1;2,61;2,53;0,08;0;478;Latin America and the Caribbean
